Burst,T_90S,T_90,T_50S,T_50,Phase,4ms Peak Flux,Fluence
090122848b^a,20:56.2,366$_{-60}^{+86}$,20:56.3,126$_{-18}^{+16}$,0.7576,2.68E-06 +or- 4.69E-07,1.54E-07 +or- 7.52E-09
090122898a,32:53.0,196$_{-68}^{+39}$,32:53.1,48$_{-12}^{+20}$,0.1461,2.54E-06 +or- 5.32E-07,8.70E-08 +or- 8.00E-09
090122980a,31:19.9,450$_{-44}^{+64}$,31:19.9,134$_{-6}^{+8}$,0.0929,1.11E-05 +or- 8.23E-07,9.33E-07 +or- 1.71E-08
090123042a,01:14.5,260$_{-40}^{+66}$,01:14.5,74$_{-20}^{+48}$,0.7531,1.70E-05 +or- 1.24E-06,5.28E-07 +or- 1.68E-08
090123055a^f,19:42.4,78$_{-10}^{+10}$,19:42.5,24$_{-2}^{+2}$,0.9466,9.91E-05 +or- 4.03E-06,3.15E-06 +or- 4.18E-08
"090123113a^a^,^b^,^f",42:10.7,324$_{-26}^{+16}$,42:10.7,78$_{-2}^{+2}$,,,
090123313a,31:26.6,253$_{-43}^{+26}$,31:26.7,98$_{-14}^{+26}$,0.6148,3.35E-06 +or- 7.03E-07,2.11E-07 +or- 1.32E-08
090123348a,21:37.6,98$_{-12}^{+14}$,21:37.6,50$_{-6}^{+2}$,0.7808,9.58E-06 +or- 7.37E-07,3.25E-07 +or- 9.60E-09
090123552a,14:33.8,78$_{-20}^{+35}$,14:33.8,22$_{-4}^{+4}$,0.5745,4.37E-06 +or- 5.73E-07,1.00E-07 +or- 6.40E-09
090123577a,50:58.1,36$_{-14}^{+22}$,50:58.1,8$_{-2}^{+6}$,0.7796,8.86E-06 +or- 1.09E-06,1.18E-07 +or- 8.36E-09
090123617a,48:26.1,182$_{-26}^{+46}$,48:26.1,108$_{-4}^{+2}$,0.8725,9.95E-06 +or- 7.89E-07,3.17E-07 +or- 1.06E-08
090123683a,22:53.6,298$_{-112}^{+236}$,22:53.6,46$_{-8}^{+14}$,0.708,9.64E-06 +or- 1.18E-06,2.82E-07 +or- 1.56E-08
090123705a^f,54:38.1,78$_{-6}^{+10}$,54:38.1,32$_{-2}^{+2}$,0.3407,9.78E-05 +or- 3.55E-06,2.03E-06 +or- 2.88E-08
090124175a,11:23.2,462$_{-28}^{+28}$,11:23.2,234$_{-20}^{+36}$,0.5722,5.05E-06 +or- 6.16E-07,1.18E-07 +or- 6.80E-09
090124175b^a,11:23.7,56$_{-14}^{+26}$,11:23.8,20$_{-6}^{+6}$,0.8401,2.77E-06 +or- 5.08E-07,5.58E-08 +or- 4.80E-09
090125179a,17:16.0,80 +or- 9,17:15.6,36 +or- 9,0.4709,7.76E-06 +or- 1.08E-06,2.04E-07 +or- 1.51E-08
090125277a,38:58.3,48 +or- 11,38:58.3,24 +or- 6,0.9677,9.06E-06 +or- 1.03E-06,2.94E-07 +or- 1.30E-08
090125538a^f,55:21.3,52 +or- 6,55:21.3,20 +or- 6,0.1617,4.42E-05 +or- 2.39E-06,8.98E-07 +or- 2.23E-08
090125900a,36:05.2,368 +or- 116,36:05.3,80 +or- 101,0.457,1.48E-06 +or- 3.31E-07,1.35E-07 +or- 1.06E-08
090125911a,52:13.1,104 +or- 9,52:13.2,20 +or- 6,0.5565,3.13E-05 +or- 1.38E-06,5.66E-07 +or- 1.39E-08
090125959a^b,00:36.1,300 +or- 9,00:36.3,44 +or- 6,,,
090126200a^f,48:05.4,720 +or- 6,48:05.4,92 +or- 9,0.2377,7.21E-05 +or- 4.44E-06,3.05E-06 +or- 6.12E-08
090126610a,37:55.5,104 +or- 18,37:55.5,40 +or- 11,0.5473,3.17E-06 +or- 5.09E-07,7.30E-08 +or- 8.45E-09
090126748a,56:39.2,64 +or- 9,56:39.2,28 +or- 6,0.2769,7.55E-06 +or- 7.65E-07,2.65E-07 +or- 1.09E-08
090126966a,10:20.0,108 +or- 13,10:20.1,60 +or- 6,0.7539,3.17E-06 +or- 4.69E-07,1.16E-07 +or- 7.30E-09
090127611a,39:14.1,48 +or- 51,39:14.1,32 +or- 36,0.6722,2.75E-06 +or- 5.03E-07,5.36E-08 +or- 6.24E-09
090127632a,10:08.9,108 +or- 6,10:08.9,32 +or- 6,0.8272,1.35E-05 +or- 7.74E-07,2.77E-07 +or- 6.84E-09
090128024a,34:45.5,64 +or- 23,34:45.5,48 +or- 23,0.6649,1.74E-06 +or- 3.80E-07,4.24E-08 +or- 5.12E-09
